Número do Alimento;Categoria do alimento;Descrição dos alimentos;Saturados (g);Mono-insaturados (g);Poli-insaturados (g);12:0 (g);14:0 (g);16:0 (g);18:0 (g);20:0 (g);22:0 (g);24:0 (g);14:1 (g);16:1 (g);18:1 (g);20:1 (g);18:2 n-6 (g);18:3 n-3 (g);20:4 (g);20:5 (g);22:5 (g);22:6 (g);18:1t (g);18:2t (g)
357;Carnes e derivados;Carne, bovina, filé mingnon, sem gordura, cru;2,9;1,9;0,2;;0,17;1,44;1,16;0,01;0,01;;;0,15;1,69;0,01;0,11;0,02;0,03;0,01;;;0,10;0,01
358;Carnes e derivados;Carne, bovina, filé mingnon, sem gordura, grelhado;4,5;3,1;0,2;;0,25;2,21;1,76;0,01;;0,01;;0,23;2,87;;0,16;0,02;0,02;;;;0,14;0,02
359;Carnes e derivados;Carne, bovina, flanco, sem gordura, cozido;3,9;2,8;0,1;;0,27;2,07;1,40;0,01;;;;0,28;2,49;0,01;0,08;0,01;;;;;0,16;
360;Carnes e derivados;Carne, bovina, flanco, sem gordura, cru;3,1;2,3;0,1;;0,19;1,65;1,13;0,01;;;;0,18;2,09;;0,07;0,01;0,01;;;;0,11;0,02
361;Carnes e derivados;Carne, bovina, fraldinha, com gordura, cozida;12,1;10,4;0,5;0,02;0,95;6,35;3,98;0,02;;;;1,10;9,07;0,07;0,29;0,12;0,05;;;;0,50;0,05
362;Carnes e derivados;Carne, bovina, fraldinha, com gordura, crua;7,3;6,5;0,3;0,01;0,59;3,77;2,39;0,01;;;;0,71;5,63;0,06;0,16;0,09;0,01;;;;0,43;
363;Carnes e derivados;Carne, bovina, lagarto, cozido;3,9;4,0;0,2;;0,22;2,22;1,25;0,01;0,02;;;0,42;3,54;0,01;0,12;0,02;0,01;;;;0,15;0,07
364;Carnes e derivados;Carne, bovina, lagarto, cru;2,3;2,3;0,1;;0,14;1,36;0,66;;Tr;;;0,25;1,98;;0,06;0,01;Tr;;;;0,08;Tr
365;Carnes e derivados;Carne, bovina, língua, cozida;11,2;10,3;0,5;;0,68;5,54;4,20;0,02;0,02;;;0,77;9,31;;0,43;0,09;0,02;;;;0,41;0,02
366;Carnes e derivados;Carne, bovina, língua, crua;6,8;6,8;0,3;0,01;0,41;3,40;2,63;0,01;;;;0,48;6,11;0,06;0,26;0,04;0,01;;0,01;;0,29;0,01
367;Carnes e derivados;Carne, bovina, maminha, crua;3,1;3,1;0,1;0,01;0,21;1,71;0,93;0,01;;;;0,32;2,70;0,01;0,09;0,01;0,01;;;;0,08;0,01
368;Carnes e derivados;Carne, bovina, maminha, grelhada;9,7;7,7;0,2;0,02;0,63;4,96;3,49;0,04;0,02;;;0,77;6,79;0,04;0,19;0,04;0,02;;;;0,42;0,06
369;Carnes e derivados;Carne, bovina, miolo de alcatra, sem gordura, cru;3,4;3,3;0,1;;0,20;1,79;1,10;0,01;0,01;;;0,36;2,85;0,02;;0,04;0,03;0,01;;;0,16;0,01
370;Carnes e derivados;Carne, bovina, miolo de alcatra, sem gordura, grelhado;5,1;4,9;0,3;;0,32;2,82;1,61;0,01;0,01;;;0,52;4,28;0,03;0,16;0,04;0,04;0,01;;;0,21;0,01
371;Carnes e derivados;Carne, bovina, músculo, sem gordura, cozido;2,9;2,8;0,1;;0,13;1,64;0,99;0,01;0,01;0,01;;0,26;2,48;0,01;0,09;0,03;0,01;;;;0,13;0,05
372;Carnes e derivados;Carne, bovina, músculo, sem gordura, cru;2,2;2,6;0,1;;0,12;1,27;0,71;0,01;0,01;;;0,21;2,35;0,01;0,07;0,01;0,01;;;;0,08;0,02
373;Carnes e derivados;Carne, bovina, paleta, com gordura, crua;3,5;2,9;0,2;0,01;0,19;1,72;1,38;0,01;;;;0,24;2,60;0,02;0,12;0,01;0,01;;;;0,20;0,01
374;Carnes e derivados;Carne, bovina, paleta, sem gordura, cozida;3,4;3,0;0,2;0,01;0,18;1,68;1,31;0,01;0,01;0,01;;0,23;2,69;0,02;0,16;0,01;0,01;;;;0,15;0,01
375;Carnes e derivados;Carne, bovina, paleta, sem gordura, crua;2,7;2,1;0,1;0,01;0,15;1,33;1,11;0,01;;;;0,16;1,90;0,01;0,11;;0,01;;;;0,15;0,03
376;Carnes e derivados;Carne, bovina, patinho, sem gordura, cru;2,0;1,9;0,2;;0,11;1,08;0,66;;0,01;;;0,17;1,65;0,01;0,10;0,02;0,03;;;;0,07;0,01
377;Carnes e derivados;Carne, bovina, patinho, sem gordura, grelhado;3,1;3,1;0,3;0,01;0,15;1,59;1,13;0,01;0,01;0,01;;0,25;2,81;0,04;0,17;0,03;0,05;0,01;0,03;;0,11;0,01
378;Carnes e derivados;Carne, bovina, peito, sem gordura, cozido;11,7;11,5;0,4;0,02;0,86;6,10;4,08;0,02;;;;1,09;10,21;0,07;0,32;0,10;0,02;;;;0,67;0,05
379;Carnes e derivados;Carne, bovina, peito, sem gordura, cru;8,2;9,2;0,5;;0,56;4,40;2,62;0,02;;;;0,95;8,03;0,04;0,26;0,15;0,02;;;;0,54;0,04
380;Carnes e derivados;Carne, bovina, picanha, com gordura, crua;6,1;6,7;0,3;;0,42;3,46;1,83;0,01;0,01;;;0,73;5,86;0,01;0,22;0,05;0,03;;;;0,22;0,03
381;Carnes e derivados;Carne, bovina, picanha, com gordura, grelhada;7,9;9,2;0,4;;0,59;4,59;2,15;0,02;0,02;;;1,01;8,04;0,03;0,25;0,07;0,05;0,02;;;0,23;0,04
382;Carnes e derivados;Carne, bovina, picanha, sem gordura, crua;2,0;2,1;0,1;Tr;0,15;1,18;0,61;Tr;Tr;Tr;;0,22;1,83;0,01;0,08;Tr;0,01;;;;0,04;Tr
383;Carnes e derivados;Carne, bovina, picanha, sem gordura, grelhada;4,5;5,2;0,3;0,01;0,32;2,48;1,36;0,01;0,01;0,01;;0,51;4,64;;0,22;;0,04;;;;0,11;0,02
384;Carnes e derivados;Carne, bovina, seca, cozida;10,5;8,3;0,4;0,03;0,68;5,11;4,42;0,04;;;0,12;0,59;7,52;0,03;0,24;0,08;0,05;;0,05;;0,71;0,22
